"category","year","title","venue","dataset","method","metrics","main_contribution","limitations","relation_to_my_project","verification","doi_or_link"
"foundational","2006","A Review on Machinery Diagnostics and Prognostics Implementing Condition-Based Maintenance","Mechanical Systems and Signal Processing","not dataset-specific","CBM/prognostics review","not benchmark-specific","Frames diagnostics, prognostics, and condition-based maintenance as an integrated decision problem.","Pre-deep-learning review; does not address C-MAPSS sequence models.","Supports the PHM and maintenance-decision motivation for safety-oriented RUL.","verified DOI","https://doi.org/10.1016/j.ymssp.2005.09.012"
"foundational","2008","Damage propagation modeling for aircraft engine run-to-failure simulation","2008 International Conference on Prognostics and Health Management","C-MAPSS simulated turbofan run-to-failure","physics-based simulation benchmark","RUL benchmark protocol foundation","Introduces the run-to-failure simulation setting underlying NASA C-MAPSS.","Simulation benchmark; not real fleet telemetry.","Dataset boundary for FD001-FD004 and the project's scope limitation.","verified DOI","https://doi.org/10.1109/PHM.2008.4711414"
"foundational","2021","Aircraft Engine Run-to-Failure Dataset under Real Flight Conditions for Prognostics and Diagnostics","Data","N-CMAPSS","new dataset/data descriptor","dataset descriptor","Provides N-CMAPSS under realistic flight profiles, bridging classic C-MAPSS and more realistic profiles.","Dataset paper, not a model comparison; requires future experiments.","Future path beyond FD001/FD003 toward realistic flight-profile validation.","verified DOI","https://doi.org/10.3390/data6010005"
"direct_baseline","2016","Deep Convolutional Neural Network Based Regression Approach for Estimation of Remaining Useful Life","DASFAA / Lecture Notes in Computer Science","C-MAPSS","deep CNN regression","RMSE, NASA score","Early CNN formulation for RUL regression from sensor sequences.","Older architecture; limited safety/uncertainty discussion.","Baseline for the project's 1D-CNN and diagnostic comparison.","verified DOI","https://doi.org/10.1007/978-3-319-32025-0_14"
"direct_baseline","2017","Long Short-Term Memory Network for Remaining Useful Life Estimation","IEEE ICPHM","C-MAPSS","LSTM sequence model","RMSE, NASA score","Classic recurrent neural network baseline for C-MAPSS RUL.","Focuses on point accuracy; not safety-aware.","Baseline for local LSTM/GRU comparison under leakage-safe preprocessing.","verified DOI","https://doi.org/10.1109/ICPHM.2017.7998311"
"direct_baseline","2018","Remaining useful life estimation in prognostics using deep convolution neural networks","Reliability Engineering & System Safety","C-MAPSS","deep CNN","RMSE, NASA score","Shows stronger CNN-based prognostics pipeline for RUL estimation.","Architecture-specific; limited maintenance-decision evaluation.","Prevents over-interpreting local CNN failure as a general CNN limitation.","verified DOI","https://doi.org/10.1016/j.ress.2017.11.021"
"direction_support","2020","Remaining useful lifetime prediction via deep domain adaptation","Reliability Engineering & System Safety","C-MAPSS cross-domain settings","deep domain adaptation","RMSE, NASA score","Foundational RUL domain adaptation paper for distribution-shifted operating/fault conditions.","Pre-2022 but essential for transfer-generalization framing.","Motivates the project's FD source-target stress tests and future domain adaptation module.","verified DOI","https://doi.org/10.1016/j.ress.2019.106682"
"direction_support","2021","Adaptive Spatio-Temporal Graph Information Fusion for Remaining Useful Life Prediction","IEEE Sensors Journal","RUL sensor time-series, commonly C-MAPSS-oriented","spatio-temporal graph information fusion","RMSE, score","Models sensor relations with graph/spatio-temporal fusion for RUL.","Full dataset/protocol details not inspected in this review.","Supports sensor-relationship modeling, XAI, and robustness discussion.","verified DOI/OpenAlex","https://doi.org/10.1109/JSEN.2021.3136622"
"direct_baseline","2022","A Deep Learning Model for Remaining Useful Life Prediction of Aircraft Turbofan Engine on C-MAPSS Dataset","IEEE Access","C-MAPSS FD001-FD004","LSTM with preprocessing and label strategy","RMSE, NASA score","Shows that preprocessing, sensor selection, and RUL label construction remain publishable design levers.","Still point-prediction focused; limited uncertainty or decision policy.","Closest direct comparator for local FD001/FD003 LSTM/GRU baseline and preprocessing choices.","verified DOI","https://doi.org/10.1109/ACCESS.2022.3203406"
"direct_baseline","2022","An enhanced CNN-LSTM remaining useful life prediction model for aircraft engine with attention mechanism","PeerJ Computer Science","C-MAPSS","CNN-LSTM with CBAM attention","RMSE, score","Combines CNN feature extraction, LSTM temporal learning, and attention for aircraft-engine RUL.","Focus remains benchmark accuracy; limited safety-policy framing.","Supports the deep sequence and attention baseline category.","verified DOI","https://doi.org/10.7717/peerj-cs.1084"
