path,files,size_mb,decision,notes
".git",unknown,unknown,DO_NOT_DELETE,"Git metadata; never clean in repo simplification."
".venv",unknown,unknown,DO_NOT_DELETE,"User explicitly said virtual environment must never be deleted."
".agents",0,0,REVIEW_DELETE,"Empty directory; confirm local tooling use first."
".matplotlib-cache",1,0.149,REVIEW_DELETE,"Generated matplotlib cache; ignored by gitignore."
".pytest_cache",0,0,REVIEW_DELETE,"Generated pytest cache; access issue during no-ignore rg."
"configs",3,0.001,KEEP,"Experiment defaults and ablation plan."
"data/raw",15,43.25,DO_NOT_DELETE,"NASA C-MAPSS raw txt/PDF/readme plus local data README."
"docs",3,0.014,KEEP,"Research status, Dual-LSTM method spec, Asif 2022 gap analysis; archive older notes later."
"notebooks",1,0.001,KEEP_AS_SHOWCASE,"Only README; no ipynb found. Good future showcase location."
"reports",1281,3086.649,MIXED,"Main cleanup target; split paper-facing outputs from generated/heavy artifacts."
"reports/autoresearch",13,0.020,ARCHIVE,"Auto-research state/log trace files."
"reports/logs",8,0.000,REVIEW_DELETE,"Near-empty logs; confirm no active run depends on them."
"reports/mentor_materials",3,0.003,ARCHIVE,"Pitch, one-pager, email template."
"reports/paper",96,6.260,MIXED,"Keep manuscript/PDF/final CSVs; regenerate build/upload bundles."
"reports/paper2",63,200.401,MIXED,"Keep manuscript/supplement/PDF/final CSVs/audits; regenerate build/source/raster bundles."
"reports/review",29,23.473,ARCHIVE,"Literature review deliverable or archive; build intermediates regenerable."
"reports/tables",1065,2856.476,MIXED,"Important experiment evidence but heavy; externalize/regenerate model artifacts."
"scratch",0,0,REVIEW_DELETE,"Empty ignored scratch directory."
"scripts",37,0.452,KEEP,"Core experiment runners, figure/table builders, packaging/audit scripts."
"src/rul_prediction",43,0.200,KEEP,"Core Python package."
"tests",26,0.091,KEEP,"Regression tests for metrics, models, outputs, decision, uncertainty."
"tools",0,0,REVIEW_DELETE,"Empty directory; confirm reserved use."
"work",14,0.145,REVIEW_DELETE,"Ignored smoke/scratch outputs; regenerate from scripts if needed."
"README.md",1,0.009,KEEP,"Main project orientation and reproduction commands."
"pyproject.toml",1,0.001,KEEP,"Package metadata and dependencies."
"requirements.txt",1,0.000,KEEP,"Editable install pointer."
".gitignore",1,0.001,KEEP,"Protects raw/generated/cache artifacts."
"实施计划.md",1,0.011,ARCHIVE,"Useful project roadmap; consider moving from root to docs/archive."
